SalesTerritoryKey;Latitude;Longitude;Geohash
1;34.31295;-78.16111;dq07
2;42.21561;-79.83422;dpx0
3;43.2342;-86.2506;dpdt
4;40.19896;-79.52087;dppk
5;38.88067;-76.98998;dqcm
6;60.10867;-113.64258;c6xj
7;46.0;2.0;u01m
8;51.5;10.5;u1pk
9;-25.0;135.0;qgxc
10;54.75844;-2.69531;gcwp
